DATA,CLIENTE,ORIGEM ,DESTINO ,KM,VEÍCULO,KM ROD,R$ MOTORISTA,R$ EMPRESA,VALOR DE NF,DIAS PAG,ICMS,CO,COMISSÃO,RENTABILIDADE,V. COM,SITUAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2026,CYA RUBBER,APIAI,SAO LEOPOLDO,600,CARRETA,"11,93","R$ 7.160,00","R$ 13.200,00","R$ 150.000,00",15,"9,60%","5,33%","13,00%","15,06%"," R$  785,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 112,20", IMPOSTO," R$  858,00 ","6,50%", C.O," R$  703,56 ", MARGEM," R$  1.988,00 ", ICMS," R$  1.267,20 ", MOVA," R$  0,00 "," R$  263,34 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
09/06/2026,CYA RUBBER,GUARULHOS,PINHALZINHO,80,TOCO,"12,00","R$ 960,00","R$ 1.890,00","R$ 56.000,00",15,"9,60%","5,33%","13,00%","16,72%"," R$  120,90 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 16,07", IMPOSTO," R$  122,85 ","6,50%", C.O," R$  100,74 ", MARGEM," R$  316,00 ", ICMS," R$  181,44 ", MOVA," R$  0,00 "," R$  37,71 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 16,80",BOLETOS + RCV," R$  17,50 "
09/06/2026,CYA RUBBER,GUARULHOS,JAGUARIUNA,140,TRUCK,"10,79","R$ 1.510,00","R$ 2.800,00","R$ 50.000,00",15,"9,60%","5,33%","12,00%","15,11%"," R$  154,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 23,80", IMPOSTO," R$  182,00 ","6,50%", C.O," R$  149,24 ", MARGEM," R$  423,00 ", ICMS," R$  268,80 ", MOVA," R$  0,00 "," R$  55,86 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
10/06/2026,CYA RUBBER,GUARULHOS,SALTO,140,TOCO,"9,71","R$ 1.360,00","R$ 2.700,00","R$ 50.000,00",15,"9,60%","5,33%","13,00%","17,70%"," R$  174,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 22,95", IMPOSTO," R$  175,50 ","6,50%", C.O," R$  143,91 ", MARGEM," R$  477,88 ", ICMS," R$  259,20 ", MOVA," R$  0,00 "," R$  53,87 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
10/06/2026,CYA RUBBER,GUARULHOS,SALTO,140,TOCO,"9,71","R$ 1.360,00","R$ 2.200,00","R$ 50.000,00",15,"9,60%","5,33%","13,00%","7,47%"," R$  109,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 18,70", IMPOSTO," R$  143,00 ","6,50%", C.O," R$  117,26 ", MARGEM," R$  164,25 ", ICMS," R$  211,20 ", MOVA," R$  0,00 "," R$  43,89 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
10/06/2026,UNIFORT,GOIANIA,MARABA,1.400,TOCO,"4,61","R$ 6.460,00","R$ 12.000,00","R$ 100.000,00",15,"5,00%","3,50%","10,00%","23,31%"," R$  554,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 102,00", IMPOSTO," R$  780,00 ","6,50%", C.O," R$  420,00 ", MARGEM," R$  2.797,10 ", ICMS," R$  600,00 ", MOVA," R$  0,00 "," R$  239,40 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
10/06/2026,UNIFORT,GOIANIA,VARZEA GRADE,900,TOCO,"5,07","R$ 4.560,00","R$ 7.900,00","R$ 100.000,00",15,"5,00%","5,33%","10,00%","17,77%"," R$  334,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 67,15", IMPOSTO," R$  513,50 ","6,50%", C.O," R$  421,07 ", MARGEM," R$  1.404,18 ", ICMS," R$  395,00 ", MOVA," R$  0,00 "," R$  157,61 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,50,VAN,"9,20","R$ 460,00","R$ 869,40","R$ 20.000,00",15,"9,60%",,"13,00%","19,32%"," R$  53,22 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 7,39", IMPOSTO," R$  56,51 ","6,50%", C.O, R$  -   , MARGEM," R$  167,97 ", ICMS," R$  83,46 ", MOVA," R$  0,00 "," R$  17,34 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 6,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,100,VAN,"5,60","R$ 560,00","R$ 1.058,40","R$ 20.000,00",15,"9,60%",,"13,00%","19,80%"," R$  64,79 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 9,00", IMPOSTO," R$  68,80 ","6,50%", C.O, R$  -   , MARGEM," R$  209,59 ", ICMS," R$  101,61 ", MOVA," R$  0,00 "," R$  21,12 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 6,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,150,VAN,"5,07","R$ 760,00","R$ 1.310,00","R$ 20.000,00",15,"9,60%",,"13,00%","15,79%"," R$  71,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 11,14", IMPOSTO," R$  85,15 ","6,50%", C.O, R$  -   , MARGEM," R$  206,82 ", ICMS," R$  125,76 ", MOVA," R$  0,00 "," R$  26,13 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 6,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,50,3/4,"13,20","R$ 660,00","R$ 1.280,00","R$ 35.000,00",15,"9,60%",,"13,00%","21,01%"," R$  80,60 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 10,88", IMPOSTO," R$  83,20 ","6,50%", C.O, R$  -   , MARGEM," R$  268,90 ", ICMS," R$  122,88 ", MOVA," R$  0,00 "," R$  25,54 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 10,50",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,100,3/4,"7,60","R$ 760,00","R$ 1.360,00","R$ 35.000,00",15,"9,60%",,"13,00%","17,38%"," R$  78,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 11,56", IMPOSTO," R$  88,40 ","6,50%", C.O, R$  -   , MARGEM," R$  236,35 ", ICMS," R$  130,56 ", MOVA," R$  0,00 "," R$  27,13 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 10,50",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,150,3/4,"6,07","R$ 910,00","R$ 1.550,00","R$ 35.000,00",15,"9,60%",,"13,00%","15,17%"," R$  83,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 13,18", IMPOSTO," R$  100,75 ","6,50%", C.O, R$  -   , MARGEM," R$  235,15 ", ICMS," R$  148,80 ", MOVA," R$  0,00 "," R$  30,92 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 10,50",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,50,TOCO,"14,20","R$ 710,00","R$ 1.377,40","R$ 50.000,00",15,"9,60%","5,33%","13,00%","15,52%"," R$  86,76 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 11,71", IMPOSTO," R$  89,53 ","6,50%", C.O," R$  73,42 ", MARGEM," R$  213,77 ", ICMS," R$  132,23 ", MOVA," R$  0,00 "," R$  27,48 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,100,TOCO,"8,10","R$ 810,00","R$ 1.571,40","R$ 50.000,00",15,"9,60%","5,33%","13,00%","15,81%"," R$  98,98 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 13,36", IMPOSTO," R$  102,14 ","6,50%", C.O," R$  83,76 ", MARGEM," R$  248,46 ", ICMS," R$  150,85 ", MOVA," R$  0,00 "," R$  31,35 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,150,TOCO,"6,40","R$ 960,00","R$ 1.820,00","R$ 50.000,00",15,"9,60%","5,33%","13,00%","15,05%"," R$  111,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 15,47", IMPOSTO," R$  118,30 ","6,50%", C.O," R$  97,01 ", MARGEM," R$  273,90 ", ICMS," R$  174,72 ", MOVA," R$  0,00 "," R$  36,31 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,50,TRUCK,"17,20","R$ 860,00","R$ 1.668,40","R$ 80.000,00",15,"9,60%","5,33%","13,00%","15,39%"," R$  105,09 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 14,18", IMPOSTO," R$  108,45 ","6,50%", C.O," R$  88,93 ", MARGEM," R$  256,80 ", ICMS," R$  160,17 ", MOVA," R$  0,00 "," R$  33,28 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 24,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,100,TRUCK,"10,60","R$ 1.060,00","R$ 2.056,40","R$ 80.000,00",15,"9,60%","5,33%","13,00%","15,86%"," R$  129,53 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 17,48", IMPOSTO," R$  133,67 ","6,50%", C.O," R$  109,61 ", MARGEM," R$  326,18 ", ICMS," R$  197,41 ", MOVA," R$  0,00 "," R$  41,03 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 24,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,GUARULHOS,GUARULHOS,150,TRUCK,"8,40","R$ 1.260,00","R$ 2.444,40","R$ 80.000,00",15,"9,60%","5,33%","13,00%","16,18%"," R$  153,97 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 20,78", IMPOSTO," R$  158,89 ","6,50%", C.O," R$  130,29 ", MARGEM," R$  395,55 ", ICMS," R$  234,66 ", MOVA," R$  0,00 "," R$  48,77 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 24,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,TRYUMPHO,VIÇOSA,BETIM,250,TRUCK,"12,64","R$ 3.160,00","R$ 5.500,00","R$ 250.000,00",7,"5,00%","5,33%","13,00%","16,72%"," R$  304,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 46,75", IMPOSTO," R$  357,50 ","6,50%", C.O," R$  293,15 ", MARGEM," R$  919,70 ", ICMS," R$  275,00 ", MOVA," R$  0,00 "," R$  51,21 ", MOVA,"0,93%", SEGURO,"0,030%","R$ 75,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,VIRTUS,SANTOS,ANAPOLIS,1.021,CARRETA,"8,14","R$ 8.310,00","R$ 14.350,00","R$ 145.000,00",15,"5,60%","5,33%","13,00%","15,92%"," R$  785,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 121,98", IMPOSTO," R$  932,75 ","6,50%", C.O," R$  764,86 ", MARGEM," R$  2.284,34 ", ICMS," R$  803,60 ", MOVA," R$  0,00 "," R$  286,28 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 43,50",BOLETOS + RCV," R$  17,50 "
11/06/2026,CYA RUBBER,APIAI,SAO LEOPOLDO,918,TRUCK,"5,62","R$ 5.160,00","R$ 9.900,00","R$ 150.000,00",15,"9,60%","5,33%","13,00%","16,75%"," R$  616,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 84,15", IMPOSTO," R$  643,50 ","6,50%", C.O," R$  527,67 ", MARGEM," R$  1.658,08 ", ICMS," R$  950,40 ", MOVA," R$  0,00 "," R$  197,51 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,TERMOCOLOR,DIADEMA,BELO HORIZONTE,603,CARRETA,"8,34","R$ 5.030,00","R$ 9.300,00","R$ 150.000,00",15,"9,60%","5,33%","12,00%","15,46%"," R$  512,40 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 79,05", IMPOSTO," R$  604,50 ","6,50%", C.O," R$  495,69 ", MARGEM," R$  1.437,53 ", ICMS," R$  892,80 ", MOVA," R$  0,00 "," R$  185,54 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,TERMOCOLOR,DIADEMA,BRASILIA,1.063,CARRETA,"8,33","R$ 8.860,00","R$ 14.900,00","R$ 150.000,00",15,"5,00%","5,33%","13,00%","15,17%"," R$  785,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 126,65", IMPOSTO," R$  968,50 ","6,50%", C.O," R$  794,17 ", MARGEM," R$  2.260,73 ", ICMS," R$  745,00 ", MOVA," R$  0,00 "," R$  297,26 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,TERMOCOLOR,DIADEMA,CONDE,2.700,CARRETA,"7,24","R$ 19.560,00","R$ 31.980,00","R$ 150.000,00",15,"5,00%","5,33%","10,00%","15,08%"," R$  1.242,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 271,83", IMPOSTO," R$  2.078,70 ","6,50%", C.O," R$  1.704,53 ", MARGEM," R$  4.823,44 ", ICMS," R$  1.599,00 ", MOVA," R$  0,00 "," R$  638,00 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,TERMOCOLOR,GUARULHOS,SAO JOSE DOS CAMPOS,80,3/4,"11,38","R$ 910,00","R$ 1.750,00","R$ 50.000,00",15,"9,60%","5,33%","13,00%","15,63%"," R$  109,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 14,88", IMPOSTO," R$  113,75 ","6,50%", C.O," R$  93,28 ", MARGEM," R$  273,49 ", ICMS," R$  168,00 ", MOVA," R$  0,00 "," R$  34,91 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
11/06/2026,AÇOS FAVORIT,BETIM,PONTA GROSSA,1.000,COMPL,"0,80","R$ 800,00","R$ 1.490,00","R$ 5.000,00",7,"9,60%","5,33%","13,00%","15,80%"," R$  89,70 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 12,67", IMPOSTO," R$  96,85 ","6,50%", C.O," R$  79,42 ", MARGEM," R$  235,46 ", ICMS," R$  143,04 ", MOVA," R$  0,00 "," R$  13,87 ", MOVA,"0,93%", SEGURO,"0,030%","R$ 1,50",BOLETOS + RCV," R$  17,50 "
12/06/2026,CYA RUBBER,FRANCA,GUARULHOS,400,TRUCK,"7,90","R$ 3.160,00","R$ 5.900,00","R$ 50.000,00",15,"9,60%","5,33%","13,00%","15,58%"," R$  356,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 50,15", IMPOSTO," R$  383,50 ","6,50%", C.O," R$  314,47 ", MARGEM," R$  919,08 ", ICMS," R$  566,40 ", MOVA," R$  0,00 "," R$  117,71 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
15/06/2026,CYA RUBBER,GUARULHOS,FRANCA - IDA E VOLTA,870,TRUCK,"6,16","R$ 5.360,00","R$ 9.000,00","R$ 150.000,00",15,"9,60%",,"13,00%","15,55%"," R$  473,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 76,50", IMPOSTO," R$  585,00 ","6,50%", C.O, R$  -   , MARGEM," R$  1.399,25 ", ICMS," R$  864,00 ", MOVA," R$  0,00 "," R$  179,55 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
15/06/2026,CYA RUBBER,SÃO LEOPOLDO,PALOTINA,860,TOCO,"4,84","R$ 4.160,00","R$ 7.100,00","R$ 100.000,00",15,"9,60%",,"13,00%","16,41%"," R$  382,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 60,35", IMPOSTO," R$  461,50 ","6,50%", C.O, R$  -   , MARGEM," R$  1.165,21 ", ICMS," R$  681,60 ", MOVA," R$  0,00 "," R$  141,65 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
15/06/2026,CYA RUBBER,SÃO LEOPOLDO,PALOTINA,860,COMPL,"3,56","R$ 3.060,00","R$ 5.900,00","R$ 100.000,00",15,"9,60%","5,33%","13,00%","16,80%"," R$  369,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 50,15", IMPOSTO," R$  383,50 ","6,50%", C.O," R$  314,47 ", MARGEM," R$  991,08 ", ICMS," R$  566,40 ", MOVA," R$  0,00 "," R$  117,71 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
15/06/2026,TRYUMPHO,BETIM,DUQUE DE CAXIAS,430,CARRETA,"9,70","R$ 4.170,00","R$ 6.800,00","R$ 80.000,00",5,"5,00%","5,33%","12,00%","15,08%"," R$  315,60 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 57,80", IMPOSTO," R$  442,00 ","6,50%", C.O," R$  362,44 ", MARGEM," R$  1.025,44 ", ICMS," R$  340,00 ", MOVA," R$  0,00 "," R$  45,22 ", MOVA,"0,67%", SEGURO,"0,030%","R$ 24,00",BOLETOS + RCV," R$  17,50 "
16/06/2026,CYA RUBBER,APIAI,SAO LEOPOLDO,1.200,TRUCK,"6,08","R$ 7.300,00","R$ 13.500,00","R$ 300.000,00",15,"9,60%","5,33%","12,00%","15,34%"," R$  744,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 114,75", IMPOSTO," R$  877,50 ","6,50%", C.O," R$  719,55 ", MARGEM," R$  2.071,38 ", ICMS," R$  1.296,00 ", MOVA," R$  0,00 "," R$  269,33 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 90,00",BOLETOS + RCV," R$  17,50 "
16/06/2026,CYA RUBBER,APIAI,SAO LEOPOLDO,835,TRUCK,"6,42","R$ 5.360,00","R$ 9.900,00","R$ 200.000,00",15,"9,60%","5,33%","12,00%","15,30%"," R$  544,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 84,15", IMPOSTO," R$  643,50 ","6,50%", C.O," R$  527,67 ", MARGEM," R$  1.514,48 ", ICMS," R$  950,40 ", MOVA," R$  0,00 "," R$  197,51 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 60,00",BOLETOS + RCV," R$  17,50 "
16/06/2026,CYA RUBBER,VIANA,SENADOR POMPEU,2.400,CARRETA,"5,86","R$ 14.060,00","R$ 23.900,00","R$ 350.000,00",15,"10,00%","5,33%","7,00%","13,10%"," R$  688,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 203,15", IMPOSTO," R$  1.553,50 ","6,50%", C.O," R$  1.273,87 ", MARGEM," R$  3.131,38 ", ICMS," R$  2.390,00 ", MOVA," R$  0,00 "," R$  476,81 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 105,00",BOLETOS + RCV," R$  17,50 "
16/06/2026,CYA RUBBER,SAO LEOPOLDO,BENTO GONÇALVES,90,TRUCK,"14,00","R$ 1.260,00","R$ 2.200,00","R$ 50.000,00",15,"5,00%","5,33%","13,00%","16,02%"," R$  122,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 18,70", IMPOSTO," R$  143,00 ","6,50%", C.O," R$  117,26 ", MARGEM," R$  352,45 ", ICMS," R$  110,00 ", MOVA," R$  0,00 "," R$  43,89 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
16/06/2026,CYA RUBBER,VIANA,CAMPINA GRANDE,1.891,CARRETA,"7,17","R$ 13.560,00","R$ 21.900,00","R$ 360.000,00",15,"5,60%","5,33%","7,00%","14,57%"," R$  583,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 186,15", IMPOSTO," R$  1.423,50 ","6,50%", C.O," R$  1.167,27 ", MARGEM," R$  3.190,48 ", ICMS," R$  1.226,40 ", MOVA," R$  0,00 "," R$  436,91 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 108,00",BOLETOS + RCV," R$  17,50 "
16/06/2026,CYA RUBBER,SAO LEOPOLDO,BENTO GONÇALVES,90,TRUCK,"13,66","R$ 1.229,00","R$ 2.100,00","R$ 50.000,00",15,"5,00%","5,33%","12,00%","15,28%"," R$  104,52 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 17,85", IMPOSTO," R$  136,50 ","6,50%", C.O," R$  111,93 ", MARGEM," R$  320,81 ", ICMS," R$  105,00 ", MOVA," R$  0,00 "," R$  41,90 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
17/06/2026,UNIFORT,GOIANIA,MARABA,1.400,TOCO,"6,11","R$ 8.560,00","R$ 15.900,00","R$ 100.000,00",15,"9,60%","5,33%","10,00%","16,97%"," R$  734,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 135,15", IMPOSTO," R$  1.033,50 ","6,50%", C.O," R$  847,47 ", MARGEM," R$  2.698,78 ", ICMS," R$  1.526,40 ", MOVA," R$  0,00 "," R$  317,21 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
17/06/2026,NEOLIDER,SAO BERNARDO CAMPO,BETIM,600,TOCO,"5,35","R$ 3.210,00","R$ 4.500,00","R$ 50.000,00",0,"9,60%","5,33%","0,00%","5,66%", R$  -   ,,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 38,25", IMPOSTO," R$  292,50 ","6,50%", C.O," R$  239,85 ", MARGEM," R$  254,90 ", ICMS," R$  432,00 ", MOVA," R$  0,00 ", R$  -   , MOVA,"0,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
18/06/2026,TRYUMPHO,BETIM,BARUERI,560,TRUCK,"7,25","R$ 4.060,00","R$ 6.200,00","R$ 42.000,00",7,"5,00%","5,33%","7,00%","13,00%"," R$  149,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 52,70", IMPOSTO," R$  403,00 ","6,50%", C.O," R$  330,46 ", MARGEM," R$  806,22 ", ICMS," R$  310,00 ", MOVA," R$  0,00 "," R$  57,72 ", MOVA,"0,93%", SEGURO,"0,030%","R$ 12,60",BOLETOS + RCV," R$  17,50 "
18/06/2026,CYA RUBBER,GUARULHOS,JAGUARIUNA,100,CARRETA,"20,60","R$ 2.060,00","R$ 3.900,00","R$ 150.000,00",15,"9,60%","5,33%","13,00%","15,17%"," R$  239,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 33,15", IMPOSTO," R$  253,50 ","6,50%", C.O," R$  207,87 ", MARGEM," R$  591,58 ", ICMS," R$  374,40 ", MOVA," R$  0,00 "," R$  77,81 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
18/06/2026,PROCOLOR,CONDADO/PE,MARACANAU/CE,700,TRUKC,"6,37","R$ 4.460,00","R$ 6.950,00","R$ 150.000,00",7,"9,60%","5,33%","5,00%","9,93%"," R$  124,50 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 59,08", IMPOSTO," R$  451,75 ","6,50%", C.O," R$  370,44 ", MARGEM," R$  689,84 ", ICMS," R$  667,20 ", MOVA," R$  0,00 "," R$  64,70 ", MOVA,"0,93%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
18/06/2026,PROCOLOR,CONDADO/PE,CURITIBA,3.091,CARRETA LS,"7,88","R$ 24.360,00","R$ 35.500,00","R$ 400.000,00",7,"9,60%","5,33%","2,00%","7,15%"," R$  222,80 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 301,75", IMPOSTO," R$  2.307,50 ","6,50%", C.O," R$  1.892,15 ", MARGEM," R$  2.539,80 ", ICMS," R$  3.408,00 ", MOVA," R$  0,00 "," R$  330,51 ", MOVA,"0,93%", SEGURO,"0,030%","R$ 120,00",BOLETOS + RCV," R$  17,50 "
18/06/2026,EV COMP,SAO PAULO,JOINVILLE,600,COMPL,"2,60","R$ 1.560,00","R$ 3.200,00","R$ 200.000,00",15,"9,60%","5,33%","13,00%","17,89%"," R$  213,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 27,20", IMPOSTO," R$  208,00 ","6,50%", C.O," R$  170,56 ", MARGEM," R$  572,50 ", ICMS," R$  307,20 ", MOVA," R$  0,00 "," R$  63,84 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 60,00",BOLETOS + RCV," R$  17,50 "
19/06/2026,NEOLIDER,SAO BERNARDO DO CAMPO,NAVEGANTES ,600,COMPL,"1,60","R$ 960,00","R$ 1.830,00","R$ 50.000,00",20,"9,60%","5,33%","12,00%","15,12%"," R$  104,40 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 15,56", IMPOSTO," R$  118,95 ","6,50%", C.O," R$  97,54 ", MARGEM," R$  276,70 ", ICMS," R$  175,68 ", MOVA," R$  0,00 "," R$  48,68 ", MOVA,"2,66%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
20/06/2026,UNIFORT,GOIANIA,VARZEA GRANDE ,816,TOCO-,"5,83","R$ 4.760,00","R$ 8.500,00","R$ 100.000,00",15,"5,00%","5,33%","10,00%","19,37%"," R$  374,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 72,25", IMPOSTO," R$  552,50 ","6,50%", C.O," R$  453,05 ", MARGEM," R$  1.646,13 ", ICMS," R$  425,00 ", MOVA," R$  0,00 "," R$  169,58 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 30,00",BOLETOS + RCV," R$  17,50 "
