DATA,CLIENTE,ORIGEM ,DESTINO ,KM,VEÍCULO,KM ROD,R$ MOTORISTA,R$ EMPRESA,VALOR DE NF,DIAS PAG,ICMS,CO,COMISSÃO,RENTABILIDADE,V. COM,SITUAÇÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2025,CYA RUBBER,GUARULHOS ,FRANCA,419,TRUCK,"5,97","R$ 2.500,00","R$ 4.600,00","R$ 93.000,00",15,"12,00%","0,00%","13,00%","17,39%"," R$  273,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 39,10", IMPOSTO," R$  299,00 ","6,50%", C.O, R$  -   , MARGEM," R$  799,73 ", ICMS," R$  552,00 ", MOVA," R$  0,00 "," R$  91,77 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 27,90",BOLETOS + RCV," R$  17,50 "
05/06/2025,CYA RUBBER,SUZANO,RIBEIRAO PRETO,350,COMPL,"4,43","R$ 1.550,00","R$ 2.700,00","R$ 90.000,00",15,"12,00%","0,00%","10,00%","15,34%"," R$  115,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 22,95", IMPOSTO," R$  175,50 ","6,50%", C.O, R$  -   , MARGEM," R$  414,19 ", ICMS," R$  324,00 ", MOVA," R$  0,00 "," R$  53,87 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 27,00",BOLETOS + RCV," R$  17,50 "
05/06/2025,CYA RUBBER,CAMPO BOM,CURITIBA,650,CARRETA,"5,54","R$ 3.600,00","R$ 5.900,00","R$ 380.000,00",15,"12,00%","0,00%","7,00%","12,68%"," R$  161,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 50,15", IMPOSTO," R$  383,50 ","6,50%", C.O, R$  -   , MARGEM," R$  748,15 ", ICMS," R$  708,00 ", MOVA," R$  0,00 "," R$  117,71 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 114,00",BOLETOS + RCV," R$  17,50 "
16/09/2025,CYA RUBBER,CERQUILHO,LUIS EDUARDO MAGALHAES,1.500,CARRETA,"8,33","R$ 12.500,00","R$ 20.800,00","R$ 250.000,00",15,"5,60%","3,50%","13,00%","15,83%"," R$  1.079,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 176,80", IMPOSTO," R$  1.352,00 ","6,50%", C.O," R$  728,00 ", MARGEM," R$  3.291,94 ", ICMS," R$  1.164,80 ", MOVA," R$  0,00 "," R$  414,96 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 75,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,VOESTALPINE,CAXIAS DO SUL,CRICIUMA,306,TRUCK 14T,"7,16","R$ 2.190,00","R$ 2.900,00","R$ 150.000,00",15,"0,00%","0,00%","6,00%","11,51%"," R$  42,60 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 24,65", IMPOSTO," R$  188,50 ","6,50%", C.O, R$  -   , MARGEM," R$  333,90 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  57,86 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,VOESTALPINE,CAXIAS DO SUL,CRICIUMA,306,CARRETA 24T,"9,12","R$ 2.790,00","R$ 3.750,00","R$ 150.000,00",15,"0,00%","0,00%","7,00%","12,80%"," R$  67,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 31,88", IMPOSTO," R$  243,75 ","6,50%", C.O, R$  -   , MARGEM," R$  479,86 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  74,81 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,VOESTALPINE,CAXIAS DO SUL,JOINVILLE,520,TRUCK 14 TON,"6,33","R$ 3.290,00","R$ 4.300,00","R$ 150.000,00",15,"0,00%","0,00%","6,00%","11,28%"," R$  60,60 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 36,55", IMPOSTO," R$  279,50 ","6,50%", C.O, R$  -   , MARGEM," R$  485,07 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  85,79 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,VOESTALPINE,CAXIAS DO SUL,JOINVILLE,520,CARRETA 24T,"8,23","R$ 4.280,00","R$ 5.600,00","R$ 200.000,00",15,"0,00%","0,00%","6,00%","11,43%"," R$  79,20 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 47,60", IMPOSTO," R$  364,00 ","6,50%", C.O, R$  -   , MARGEM," R$  639,98 ", ICMS, R$  -   , MOVA," R$  0,00 "," R$  111,72 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 60,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,UNIFORT,GOIANIA,MARABA,1.420,TRUCK,"5,70","R$ 8.100,00","R$ 13.500,00","R$ 150.000,00",15,"3,00%","3,50%","10,00%","19,69%"," R$  540,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 114,75", IMPOSTO," R$  877,50 ","6,50%", C.O," R$  472,50 ", MARGEM," R$  2.658,43 ", ICMS," R$  405,00 ", MOVA," R$  0,00 "," R$  269,33 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,UNIFORT,GOIANIA,VARZEA GRANDE ,890,TRUCK,"5,91","R$ 5.260,00","R$ 8.500,00","R$ 150.000,00",15,"3,00%","3,50%","10,00%","17,73%"," R$  324,00 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 72,25", IMPOSTO," R$  552,50 ","6,50%", C.O," R$  297,50 ", MARGEM," R$  1.506,68 ", ICMS," R$  255,00 ", MOVA," R$  0,00 "," R$  169,58 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 45,00",BOLETOS + RCV," R$  17,50 "
20/03/2026,CYA RUBBER,GUARULHOS,SALTO,113,TRUCK,"10,84","R$ 1.224,75","R$ 2.180,00","R$ 50.000,00",15,"12,00%","0,00%","13,00%","15,29%"," R$  124,18 ",,,,,,,,,,,,,,,,ADEQUAÇÃO TABELA,"0,85%","R$ 18,53", IMPOSTO," R$  141,70 ","6,50%", C.O, R$  -   , MARGEM," R$  333,25 ", ICMS," R$  261,60 ", MOVA," R$  0,00 "," R$  43,49 ", MOVA,"2,00%", SEGURO,"0,030%","R$ 15,00",BOLETOS + RCV," R$  17,50 "
